YEAR,2 W,3 W,4 W,BUS,TOTAL
2017-04-01,96,4748,198,0,5042
2017-05-01,91,6720,215,2,7028
2017-06-01,137,7178,149,1,7465
2017-07-01,116,8775,120,0,9011
2017-08-01,99,8905,137,0,9141
2017-09-01,109,7414,193,0,7716
2017-10-01,160,7250,214,0,7624
2017-11-01,214,9598,186,11,10009
2017-12-01,189,8719,179,0,9087
2018-01-01,176,8750,210,29,9165
2018-02-01,156,6904,258,88,7406
2018-03-01,461,7009,183,18,7671
2018-04-01,486,6593,214,68,7361
2018-05-01,681,7276,262,69,8288
2018-06-01,956,7556,288,94,8894
2018-07-01,1217,9844,278,91,11430
2018-08-01,1573,9990,198,49,11810
2018-09-01,2257,11130,172,54,13613
2018-10-01,2557,12305,90,21,14973
2018-11-01,3374,10517,193,87,14171
2018-12-01,3168,12501,154,12,15835
2019-01-01,2745,10533,86,17,13381
2019-02-01,3126,8786,230,97,12239
2019-03-01,5866,9000,242,86,15194
2019-04-01,3078,7888,124,44,11134
2019-05-01,1666,8256,63,48,10033
2019-06-01,1757,9187,60,40,11044
2019-07-01,1569,10746,117,81,12513
2019-08-01,1506,11527,108,100,13241
2019-09-01,1561,14340,180,147,16228
2019-10-01,2136,13261,195,157,15749
2019-11-01,3144,15543,222,186,19095
2019-12-01,2235,14422,122,90,16869
2020-01-01,2941,13553,389,9,16892
2020-02-01,2353,13622,496,19,16490
2020-03-01,2883,10706,428,7,14024
2020-04-01,85,870,3,0,958
2020-05-01,558,668,84,0,1310
2020-06-01,1511,4662,295,0,6468
2020-07-01,1488,5871,359,0,7718
2020-08-01,2115,5937,371,0,8423
2020-09-01,3089,7747,340,1,11177
2020-10-01,2951,7946,462,8,11367
2020-11-01,4190,8537,570,34,13331
2020-12-01,4948,10242,526,10,15726
2021-01-01,5319,10931,657,39,16946
2021-02-01,6581,12550,627,186,19944
2021-03-01,11963,14931,907,95,27896
2021-04-01,5694,7951,1080,156,14881
2021-05-01,1243,1048,262,85,2638
2021-06-01,4671,6338,1041,70,12120
2021-07-01,14671,1853,1260,49,17833
2021-08-01,16046,13309,1202,80,30637
2021-09-01,18032,16964,1361,79,36436
2021-10-01,20812,18497,1419,84,40812
2021-11-01,24528,18690,1681,34,44933
2021-12-01,26622,24118,2645,223,53608
2022-01-01,30121,19548,1587,331,51587
2022-02-01,35708,19621,2474,278,58081
2022-03-01,54402,24606,3770,143,82921
2022-04-01,53258,21626,2310,166,77360
2022-05-01,42417,24100,3007,167,69691
2022-06-01,44372,27846,3280,146,75644
2022-07-01,46606,30489,3454,208,80757
2022-08-01,52196,33055,3417,228,88896
2022-09-01,53210,37404,3589,204,94407
2022-10-01,77137,35889,3950,243,117219
2022-11-01,76700,40403,4027,118,121248
2022-12-01,64598,35542,3879,151,104170
2023-01-01,64649,34308,3490,98,102545
2023-02-01,66033,35995,4850,99,106977
2023-03-01,86194,45225,8852,89,140360
2023-04-01,66755,38016,6193,84,111048
2023-05-01,105154,44615,7736,283,157788
2024-01-01,95833,57500,8843,514,160690
2024-02-01,95833,57500,8843,514,160690
2024-03-01,95834,57500,8843,515,160692
2024-04-01,95833,57500,8843,514,160690
2024-05-01,95833,57500,8843,514,160690
2024-06-01,95834,57500,8843,515,160692
2024-07-01,95833,57500,8843,514,160690
2024-08-01,95833,57500,8843,514,160690
2024-09-01,95834,57500,8843,515,160692
2024-10-01,95833,57500,8843,514,160690
2024-11-01,95833,57500,8843,514,160690
2024-12-01,95834,57500,8843,515,160692
2025-01-01,100266,63000,9556,700,173522
2025-02-01,100266,63000,9556,700,173522
2025-03-01,100267,63000,9556,699,173522
2025-04-01,100266,63000,9556,700,173522
2025-05-01,100266,63000,9556,700,173522
